LoincNumber,LongCommonName
42303-8,MR Orbit and Face
43530-5,MR Orbit and Face and Neck
46321-6,MR Orbit and Face and Neck W contrast IV
46310-9,MR Orbit and Face and Neck WO and W contrast IV
46332-3,MR Orbit and Face and Neck WO contrast
39038-5,MR Orbit and Face W contrast IV
39029-4,MR Orbit and Face WO and W contrast IV
36956-1,MR Orbit and Face WO contrast
36820-9,MR Orbit W contrast IV
36842-3,MR Orbit WO and W contrast IV
36872-0,MR Orbit WO contrast
43455-5,MR Oropharynx
36779-7,MR Ovary
43506-5,MR Ovary - bilateral
36823-3,MR Ovary W contrast IV
36845-6,MR Ovary WO and W contrast IV
36875-3,MR Ovary WO contrast
36052-9,MR Pancreas
36236-8,MR Pancreas W contrast IV
36385-3,MR Pancreas WO and W contrast IV
36515-5,MR Pancreas WO contrast
36053-7,MR Parathyroid gland
37224-3,MR Parotid gland
37241-7,MR Parotid gland W contrast IV
37265-6,MR Parotid gland WO and W contrast IV
37281-3,MR Parotid gland WO contrast
24867-4,MR Pelvis
24872-4,MR Pelvis and Hip
26259-2,MR Pelvis and Hip - bilateral
26260-0,MR Pelvis and Hip - left
26261-8,MR Pelvis and Hip - right
30672-0,MR Pelvis and Hip WO and W contrast IV
30671-2,MR Pelvis and Hip WO contrast
72245-4,MR Pelvis Defecography W contrast PR
42389-7,MR Pelvis Endorectal
80585-3,MR Pelvis Endorectal W contrast IV
72244-7,MR Pelvis Endorectal WO and W contrast IV
69212-9,MR Pelvis limited
36237-6,MR Pelvis W contrast IV
30674-6,MR Pelvis WO and W contrast IV
30673-8,MR Pelvis WO contrast
24880-7,MR Pituitary and Sella turcica
36238-4,MR Pituitary and Sella turcica W contrast IV
24879-9,MR Pituitary and Sella turcica WO and W contrast IV
30666-2,MR Pituitary and Sella turcica WO contrast
36056-0,MR Posterior fossa
36243-4,MR Posterior fossa W contrast IV
36388-7,MR Posterior fossa WO and W contrast IV
36518-9,MR Posterior fossa WO contrast
30675-3,MR Prostate
42388-9,MR Prostate Endorectal
36244-2,MR Prostate W contrast IV
36389-5,MR Prostate WO and W contrast IV
36519-7,MR Prostate WO contrast
43454-8,MR Pulmonary system
36031-3,MR Sacroiliac Joint
36218-6,MR Sacroiliac Joint W contrast IV
36376-2,MR Sacroiliac Joint WO and W contrast IV
36502-3,MR Sacroiliac Joint WO contrast
36059-4,MR Sacrum
36060-2,MR Sacrum and Coccyx
36247-5,MR Sacrum and Coccyx W contrast IV
36392-9,MR Sacrum and Coccyx WO and W contrast IV
36522-1,MR Sacrum and Coccyx WO contrast
36246-7,MR Sacrum W contrast IV
36391-1,MR Sacrum WO and W contrast IV
36521-3,MR Sacrum WO contrast
36933-0,MR Salivary gland
36061-0,MR Scapula
36248-3,MR Scapula - left W contrast IV
36393-7,MR Scapula - left WO and W contrast IV
36523-9,MR Scapula - left WO contrast
36249-1,MR Scapula - right W contrast IV
36394-5,MR Scapula - right WO and W contrast IV
38770-4,MR Scapula - right WO contrast
36073-5,MR Scrotum and testicle
69221-0,MR Scrotum and testicle W contrast IV
36406-7,MR Scrotum and testicle WO and W contrast IV
36535-3,MR Scrotum and testicle WO contrast
24905-2,MR Shoulder
26266-7,MR Shoulder - bilateral
69184-0,MR Shoulder - bilateral W contrast IV
26202-2,MR Shoulder - bilateral WO and W contrast IV
36525-4,MR Shoulder - bilateral WO contrast
26268-3,MR Shoulder - left
36130-3,MR Shoulder - left Arthrogram
69208-7,MR Shoulder - left Arthrogram WO and W contrast
38830-6,MR Shoulder - left W contrast IV
26203-0,MR Shoulder - left WO and W contrast IV
38834-8,MR Shoulder - left WO contrast
26270-9,MR Shoulder - right
36132-9,MR Shoulder - right Arthrogram
69218-6,MR Shoulder - right Arthrogram WO and W contrast
36254-1,MR Shoulder - right W contrast IV
26204-8,MR Shoulder - right WO and W contrast IV
36528-8,MR Shoulder - right WO contrast
36129-5,MR Shoulder Arthrogram
36251-7,MR Shoulder W contrast IV
24906-0,MR Shoulder WO and W contrast IV
30693-6,MR Shoulder WO contrast
24914-4,MR Sinuses
24915-1,MR Sinuses W contrast IV
30663-9,MR Sinuses WO and W contrast IV
30662-1,MR Sinuses WO contrast
48440-2,MR Skull base W contrast IV
69220-2,MR Skull base WO and W contrast IV
48687-8,MR Skull base WO contrast
80503-6,MR Small bowel W contrast PO and WO and W contrast IV
80501-0,MR Small bowel W contrast PO and WO contrast IV
37253-2,MR Soft tissue W contrast IV
37293-8,MR Soft tissue WO contrast
37442-1,MR spectroscopy Brain
37443-9,MR spectroscopy Unspecified body region
36067-7,MR Spine
38061-8,MR Spine Cervical and Spine Thoracic and Spine Lumbar and Sacrum W contrast IV
36256-6,MR Spine W contrast IV
36400-0,MR Spine WO and W contrast IV
36531-2,MR Spine WO contrast
36070-1,MR Spleen
36404-2,MR Spleen WO and W contrast IV
36533-8,MR Spleen WO contrast
36072-7,MR Sternum
36419-0,MR Superior vena cava WO and W contrast IV
36546-0,MR Superior vena cava WO contrast
24999-5,MR Temporomandibular joint
37228-4,MR Temporomandibular joint - bilateral
37245-8,MR Temporomandibular joint - bilateral W contrast IV
37269-8,MR Temporomandibular joint - bilateral WO and W contrast IV
37285-4,MR Temporomandibular joint - bilateral WO contrast
37230-0,MR Temporomandibular joint - left
37247-4,MR Temporomandibular joint - left W contrast IV
37270-6,MR Temporomandibular joint - left WO and W contrast IV
37286-2,MR Temporomandibular joint - left WO contrast
37231-8,MR Temporomandibular joint - right
37249-0,MR Temporomandibular joint - right W contrast IV
37271-4,MR Temporomandibular joint - right WO and W contrast IV
37287-0,MR Temporomandibular joint - right WO contrast
37435-5,MR Temporomandibular joint cine
37244-1,MR Temporomandibular joint W contrast IV
37268-0,MR Temporomandibular joint WO and W contrast IV
37284-7,MR Temporomandibular joint WO contrast
24702-3,MR Thigh
26235-2,MR Thigh - bilateral
26196-6,MR Thigh - bilateral WO and W contrast IV
26236-0,MR Thigh - left
36175-8,MR Thigh - left W contrast IV
26197-4,MR Thigh - left WO and W contrast IV
36463-8,MR Thigh - left WO contrast
26237-8,MR Thigh - right
36177-4,MR Thigh - right W contrast IV
26198-2,MR Thigh - right WO and W contrast IV
36465-3,MR Thigh - right WO contrast
36173-3,MR Thigh W contrast IV
24703-1,MR Thigh WO and W contrast IV
36461-2,MR Thigh WO contrast
35947-1,MR Thoracic and abdominal aorta
35950-5,MR Thoracic Aorta
24980-5,MR Thoracic spine
36101-4,MR Thoracic spine limited W contrast IV
36112-1,MR Thoracic spine limited WO contrast
48439-4,MR Thoracic spine W contrast IT
24982-1,MR Thoracic spine W contrast IV
48441-0,MR Thoracic spine WO and W contrast IT
24981-3,MR Thoracic spine WO and W contrast IV
36532-0,MR Thoracic spine WO contrast
43507-3,MR Thymus gland
42300-4,MR Thyroid gland
36407-5,MR Thyroid gland WO and W contrast IV
36536-1,MR Thyroid gland WO contrast
36780-5,MR Toe
72243-9,MR Toes - left W contrast IV
72241-3,MR Toes - left WO and W contrast IV
72242-1,MR Toes - left WO contrast
72240-5,MR Toes - right W contrast IV
72238-9,MR Toes - right WO and W contrast IV
72239-7,MR Toes - right WO contrast
25056-3,MR Unspecified body region
80496-3,MR Unspecified body region 3D post processing
85041-2,MR Unspecified body region 3D printed model
42387-1,MR Unspecified body region cine for CSF flow
48460-0,MR Unspecified body region limited
25057-1,MR Unspecified body region W conscious sedation
49507-7,MR Unspecified body region W contrast IV
42298-0,MR Unspecified body region WO and W contrast IV
69223-6,MR Unspecified body region WO contrast
36025-5,MR Upper arm
69180-8,MR Upper arm - bilateral
69182-4,MR Upper arm - bilateral W contrast IV
69181-6,MR Upper arm - bilateral WO and W contrast IV
69183-2,MR Upper arm - bilateral WO contrast
36028-9,MR Upper arm - left
36210-3,MR Upper arm - left W contrast IV
36368-9,MR Upper arm - left WO and W contrast IV
36493-5,MR Upper arm - left WO contrast
36030-5,MR Upper arm - right
36212-9,MR Upper arm - right W contrast IV
36370-5,MR Upper arm - right WO and W contrast IV
36495-0,MR Upper arm - right WO contrast
36208-7,MR Upper arm W contrast IV
30690-2,MR Upper arm WO and W contrast IV
30689-4,MR Upper arm WO contrast
24688-4,MR Upper extremity
26232-9,MR Upper extremity - bilateral
69187-3,MR Upper extremity - bilateral W contrast IV
69186-5,MR Upper extremity - bilateral WO and W contrast IV
69188-1,MR Upper extremity - bilateral WO contrast
26233-7,MR Upper extremity - left
38829-8,MR Upper extremity - left W contrast IV
38831-4,MR Upper extremity - left WO and W contrast IV
38832-2,MR Upper extremity - left WO contrast
26234-5,MR Upper extremity - right
36171-7,MR Upper extremity - right W contrast IV
36337-4,MR Upper extremity - right WO and W contrast IV
36459-6,MR Upper extremity - right WO contrast
36817-5,MR Upper extremity joint - bilateral W contrast IV
36774-8,MR Upper extremity joint - left
36818-3,MR Upper extremity joint - left W contrast IV
36840-7,MR Upper extremity joint - left WO and W contrast IV
36869-6,MR Upper extremity joint - left WO contrast
36775-5,MR Upper extremity joint - right
36819-1,MR Upper extremity joint - right W contrast IV
36841-5,MR Upper extremity joint - right WO and W contrast IV
36870-4,MR Upper extremity joint - right WO contrast
39037-7,MR Upper extremity W contrast IV
39034-4,MR Upper extremity WO and W contrast IV
39033-6,MR Upper extremity WO contrast
30875-9,MR Upper extremity.joint
80508-5,MR Upper extremity.joint Arthrogram
36094-1,MR Upper extremity.joint limited
36216-0,MR Upper extremity.joint W contrast IV
36374-7,MR Upper extremity.joint WO and W contrast IV
36500-7,MR Upper extremity.joint WO contrast
80584-6,MR Urethra Endovaginal WO contrast
42693-2,MR Urinary bladder and Urethra cine
42301-2,MR Uterus
36265-7,MR Uterus W contrast IV
36413-3,MR Uterus WO and W contrast IV
36542-9,MR Uterus WO contrast
69222-8,MR Vena cava
46358-8,MR Whole body
80499-7,MR Whole body WO and W contrast IV
25033-2,MR Wrist
26277-4,MR Wrist - bilateral
37449-6,MR Wrist - bilateral W contrast IV
26205-5,MR Wrist - bilateral WO and W contrast IV
37462-9,MR Wrist - bilateral WO contrast
26279-0,MR Wrist - left
69209-5,MR Wrist - left and Hand - left
37445-4,MR Wrist - left Arthrogram
37451-2,MR Wrist - left W contrast IV
26206-3,MR Wrist - left WO and W contrast IV
37464-5,MR Wrist - left WO contrast
26281-6,MR Wrist - right
69219-4,MR Wrist - right and Hand - right
37446-2,MR Wrist - right Arthrogram
37453-8,MR Wrist - right W contrast IV
26207-1,MR Wrist - right WO and W contrast IV
37466-0,MR Wrist - right WO contrast
36008-1,MR Wrist and Hand
37444-7,MR Wrist Arthrogram
37448-8,MR Wrist W contrast IV
25035-7,MR Wrist WO and W contrast IV
37460-3,MR Wrist WO contrast
80502-8,MRA Abdominal Aorta and Bilateral Runoff Vessels WO and W contrast IV
36272-3,MRA Abdominal Aorta WO and W contrast IV
36432-3,MRA Abdominal Aorta WO contrast
36781-3,MRA Abdominal veins
30864-3,MRA Abdominal veins and IVC
36846-4,MRA Abdominal veins WO and W contrast IV
36791-2,MRA Abdominal vessels
24533-2,MRA Abdominal vessels W contrast IV
36855-5,MRA Abdominal vessels WO and W contrast IV
36878-7,MRA Abdominal vessels WO contrast
36792-0,MRA Adrenal vessels
36879-5,MRA Ankle vessels WO contrast
35951-3,MRA Aortic arch
30861-9,MRA Aortic arch and Neck vessels
46360-4,MRA Aortic arch WO and W contrast IV
44130-3,MRA Aortic arch WO contrast
30859-3,MRA Carotid vessels and Neck vessels
30865-0,MRA Celiac vessels and Superior mesenteric Vessels
37501-4,MRA Cervical spine vessels W contrast IV
37506-3,MRA Cervical spine vessels WO and W contrast IV
37511-3,MRA Cervical spine vessels WO contrast
36848-0,MRA Chest veins WO and W contrast IV
30862-7,MRA Chest vessels
24659-5,MRA Chest vessels W contrast IV
36420-8,MRA Chest vessels WO and W contrast IV
36547-8,MRA Chest vessels WO contrast
37235-9,MRA Circle of Willis
37254-0,MRA Circle of Willis W contrast IV
69161-8,MRA Circle of Willis WO and W contrast IV
30876-7,MRA Extremity veins
36794-6,MRA Extremity vessels
30871-8,MRA Femoral vessels
30872-6,MRA Foot vessels
30873-4,MRA Forearm vessels
30858-5,MRA Head veins
36826-6,MRA Head veins W contrast IV
36847-2,MRA Head veins WO and W contrast IV
36876-1,MRA Head veins WO contrast
30856-9,MRA Head vessels
42304-6,MRA Head vessels and Neck vessels
36808-4,MRA Head vessels limited
24593-6,MRA Head vessels W contrast IV
36857-1,MRA Head vessels WO and W contrast IV
36881-1,MRA Head vessels WO contrast
36009-9,MRA Heart
36082-6,MRA Inferior vena cava
36790-4,MRA Inferior vena cava + tributaries
36799-5,MRA Knee vessels
36800-1,MRA Knee vessels - left
38837-1,MRA Knee vessels - left WO and W contrast IV
36801-9,MRA Knee vessels - right
36862-1,MRA Knee vessels - right WO and W contrast IV
36079-2,MRA Lower extremity veins
36784-7,MRA Lower extremity veins - left
36849-8,MRA Lower extremity veins - left WO and W contrast IV
36785-4,MRA Lower extremity veins - right
36850-6,MRA Lower extremity veins - right WO and W contrast IV
36416-6,MRA Lower extremity veins WO and W contrast IV
30874-2,MRA Lower extremity vessels
35974-5,MRA Lower extremity vessels - bilateral
44135-2,MRA Lower extremity vessels - bilateral W contrast IV
36450-5,MRA Lower extremity vessels - bilateral WO contrast
36795-3,MRA Lower extremity vessels - left
36858-9,MRA Lower extremity vessels - left WO and W contrast IV
36882-9,MRA Lower extremity vessels - left WO contrast
36796-1,MRA Lower extremity vessels - right
36859-7,MRA Lower extremity vessels - right WO and W contrast IV
38773-8,MRA Lower extremity vessels - right WO contrast
46324-0,MRA Lower extremity vessels W contrast IV
44128-7,MRA Lower extremity vessels WO and W contrast IV
44129-5,MRA Lower extremity vessels WO contrast
43512-3,MRA Lower leg vessels - bilateral W contrast IV
43513-1,MRA Lower leg vessels - left
43556-0,MRA Lower leg vessels - right
24820-3,MRA Lower leg vessels W contrast IV
37502-2,MRA Lumbar spine vessels W contrast IV
37507-1,MRA Lumbar spine vessels WO and W contrast IV
37994-1,MRA Lumbar spine vessels WO contrast
36788-8,MRA Neck veins
36827-4,MRA Neck veins W contrast IV
36853-0,MRA Neck veins WO and W contrast IV
36877-9,MRA Neck veins WO contrast
36085-9,MRA Neck vessels
24844-3,MRA Neck vessels W contrast IV
36423-2,MRA Neck vessels WO and W contrast IV
36549-4,MRA Neck vessels WO contrast
36802-7,MRA Orbit vessels
36832-4,MRA Orbit vessels W contrast IV
43458-9,MRA Orbit vessels WO and W contrast IV
36789-6,MRA Pelvis veins
36854-8,MRA Pelvis veins WO and W contrast IV
30867-6,MRA Pelvis vessels
24873-2,MRA Pelvis vessels W contrast IV
36863-9,MRA Pelvis vessels WO and W contrast IV
36883-7,MRA Pelvis vessels WO contrast
36077-6,MRA Portal vein
36414-1,MRA Portal vein WO and W contrast IV
36543-7,MRA Portal vein WO contrast
69162-6,MRA Pulmonary artery - bilateral W contrast IA
36803-5,MRA Pulmonary vessels
36275-6,MRA Renal artery WO and W contrast IV
36078-4,MRA Renal vein
36415-8,MRA Renal vein WO and W contrast IV
36544-5,MRA Renal vein WO contrast
30868-4,MRA Renal vessels
36804-3,MRA Renal vessels - bilateral
30887-4,MRA Renal vessels W contrast IV
44134-5,MRA Renal vessels WO and W contrast IV
44133-7,MRA Renal vessels WO contrast
36805-0,MRA Shoulder vessels
